Gênesis (GEN)
Capítulo 11: 36
Capítulo 12: 47
Capítulo 13: 31

Ester (EST)
Capítulos: 10
Versículos por capítulo:
Capítulo 1: 22
Capítulo 2: 23
Capítulo 3: 15
Capítulo 4: 17
Capítulo 5: 14
Capítulo 6: 14
Capítulo 7: 10
Capítulo 8: 17
Capítulo 9: 32
Capítulo 10: 3

Jó (JOB)
Capítulos: 42
Versículos por capítulo:
Capítulo 1: 22
Capítulo 2: 13
Capítulo 3: 26
Capítulo 4: 21
Capítulo 5: 27
Capítulo 6: 30
Capítulo 7: 21
Capítulo 8: 22
Capítulo 9: 35
Capítulo 10: 22
Capítulo 11: 20
Capítulo 12: 25
Capítulo 13: 28
Capítulo 14: 22
Capítulo 15: 35
Capítulo 16: 22
Capítulo 17: 16
Capítulo 18: 21
Capítulo 19: 29
Capítulo 20: 29
Capítulo 21: 34
Capítulo 22: 30
Capítulo 23: 17
Capítulo 24: 25
Capítulo 25: 6
Capítulo 26: 14
Capítulo 27: 23
Capítulo 28: 28
Capítulo 29: 25
Capítulo 30: 31
Capítulo 31: 40
Capítulo 32: 22
Capítulo 33: 33
Capítulo 34: 37
Capítulo 35: 16
Capítulo 36: 33
Capítulo 37: 24
Capítulo 38: 41
Capítulo 39: 30
Capítulo 40: 24
Capítulo 41: 34
Capítulo 42: 17

Salmos (PSA)
Capítulos: 150
Versículos por capítulo:
Capítulo 1: 6
Capítulo 2: 12
Capítulo 3: 8
Capítulo 4: 8
Capítulo 5: 12
Capítulo 6: 10
Capítulo 7: 17
Capítulo 8: 9
Capítulo 9: 20
Capítulo 10: 18
Capítulo 11: 7
Capítulo 12: 8
Capítulo 13: 6
Capítulo 14: 7
Capítulo 15: 5
Capítulo 16: 11
Capítulo 17: 15
Capítulo 18: 50
Capítulo 19: 14
Capítulo 20: 9
Capítulo 21: 13
Capítulo 22: 31
Capítulo 23: 6
Capítulo 24: 10
Capítulo 25: 22
Capítulo 26: 12
Capítulo 27: 14
Capítulo 28: 9
Capítulo 29: 11
Capítulo 30: 12
Capítulo 31: 24
Capítulo 32: 11
